"","Date","Open","High","Low","Close","Volume","Market.Cap"
"1",NA,17.58,16.76,17.24,NA,1635500000,NA
"2",NA,17.5,16.39,16.88,NA,1706140000,NA
"3",NA,17.92,17.21,17.55,NA,1738580000,NA
"4",NA,18.74,16.08,17.87,NA,1566510000,NA
"5",NA,16.66,14.47,16.11,NA,1490890000,NA
"6",NA,21.75,15.04,15.18,NA,1894610000,NA
"7",NA,19.81,14.59,19.42,NA,1423270000,NA
"8",NA,15.35,13.92,14.6,NA,1380350000,NA
"9",NA,14.5,13.9,14.21,NA,1359370000,NA
"10",NA,14.43,13.73,14.02,NA,1369880000,NA
"11",NA,14.99,13.58,13.92,NA,1374590000,NA
"12",NA,15.64,13.13,14.33,NA,1292090000,NA
"13",NA,14.23,11.8,13.24,NA,1152170000,NA
"14",NA,12.65,11.23,11.89,NA,1226190000,NA
"15",NA,12.73,10.2,12.66,NA,993753000,NA
"16",NA,10.38,9.82,10.24,NA,996639000,NA
"17",NA,10.67,10.25,10.26,NA,1028310000,NA
"18",NA,10.94,10.62,10.62,NA,1053730000,NA
"19",NA,10.97,10.8,10.87,NA,1050600000,NA
"20",NA,11.2,10.59,10.86,NA,1026380000,NA
"21",NA,10.68,10.29,10.55,NA,1007430000,NA
"22",NA,10.56,10.32,10.38,NA,1015860000,NA
"23",NA,10.72,10.46,10.5,NA,1028580000,NA
"24",NA,10.75,10.3,10.63,NA,1024260000,NA
"25",NA,10.99,10,10.6,NA,994988000,NA
"26",NA,10.82,9.97,10.28,NA,1046200000,NA
"27",NA,11.25,10.72,10.83,NA,1057170000,NA
"28",NA,11.31,10.79,10.92,NA,1083120000,NA
"29",NA,11.51,11.22,11.22,NA,1097270000,NA
"30",NA,11.61,11.29,11.34,NA,1112650000,NA
"31",NA,11.92,10.81,11.53,NA,1151010000,NA
"32",NA,12.47,11.74,11.92,NA,1148970000,NA
"33",NA,12.1,11.83,11.89,NA,1153060000,NA
"34",NA,12.66,11.6,11.95,NA,1180820000,NA
"35",NA,12.54,12.06,12.26,NA,1176620000,NA
"36",NA,12.47,11.66,12.18,NA,1157100000,NA
"37",NA,12.09,11.41,11.96,NA,1109090000,NA
"38",NA,11.59,11.41,11.49,NA,1112470000,NA
"39",NA,11.66,11.35,11.54,NA,1107010000,NA
"40",NA,12.13,11.24,11.5,NA,1166960000,NA
"41",NA,12.45,12.1,12.12,NA,1181440000,NA
"42",NA,12.32,12.09,12.28,NA,1185190000,NA
"43",NA,12.4,11.94,12.34,NA,1148890000,NA
"44",NA,12.05,11.62,11.95,NA,1150570000,NA
"45",NA,12.4,11.95,11.97,NA,1190230000,NA
"46",NA,12.49,11.77,12.41,NA,1198270000,NA
"47",NA,12.87,12.38,12.44,NA,1223910000,NA
"48",NA,13.01,12.63,12.74,NA,1246600000,NA
"49",NA,13.15,12.51,12.98,NA,1200620000,NA
"50",NA,13.25,12.04,12.52,NA,1225220000,NA
"51",NA,13.68,12.27,12.73,NA,1211380000,NA
"52",NA,12.86,11.2,12.65,NA,1077120000,NA
"53",NA,11.96,10.71,11.24,NA,1041640000,NA
"54",NA,10.98,10.41,10.86,NA,997582000,NA
"55",NA,10.71,10.35,10.44,NA,1016090000,NA
"56",NA,10.77,10.12,10.61,NA,978077000,NA
"57",NA,10.53,9.93,10.26,NA,9.67e+08,NA
"58",NA,11.24,10.02,10.07,NA,1072660000,NA
"59",NA,11.56,11.18,11.25,NA,1094120000,NA
"60",NA,11.93,11.13,11.48,NA,1131850000,NA
"61",NA,11.81,10.01,11.79,NA,957337000,NA
"62",NA,10.21,9.46,10.02,NA,948141000,NA
"63",NA,11.19,9.62,9.93,NA,978667000,NA
"64",NA,11.2,7.67,10.24,NA,868471000,NA
"65",NA,14.24,9,9.13,NA,1341200000,NA
"66",NA,14.45,13.67,14.11,NA,1379350000,NA
"67",NA,15.65,14.28,14.44,NA,1399560000,NA
"68",NA,14.83,13.53,14.61,NA,1299470000,NA
"69",NA,14.86,12.43,13.66,NA,1415090000,NA
"70",NA,15.68,14.57,14.89,NA,1443530000,NA
"71",NA,18.09,14.7,15.2,NA,1701770000,NA
"72",NA,19.01,17.64,17.81,NA,1810900000,NA
"73",NA,19.02,16.59,19.02,NA,1579610000,NA
"74",NA,16.85,14.3,16.58,NA,1506490000,NA
"75",NA,18.71,15.37,15.84,NA,1764650000,NA
"76",NA,20.47,18.07,18.57,NA,1920050000,NA
"77",NA,23.68,18.18,20.08,NA,2096550000,NA
"78",NA,22.45,16.32,21.94,NA,1559510000,NA
"79",NA,16.47,15.66,16.38,NA,1489950000,NA
"80",NA,16.06,15.48,15.66,NA,1500740000,NA
"81",NA,15.99,15.72,15.79,NA,1499090000,NA
"82",NA,16.46,15.65,15.79,NA,1527600000,NA
"83",NA,16.37,15.26,16.02,NA,1449670000,NA
"84",NA,15.32,15.11,15.29,NA,1450080000,NA
"85",NA,15.42,15.09,15.28,NA,1434760000,NA
"86",NA,15.99,15.1,15.14,NA,1456290000,NA
"87",NA,17.03,14.33,15.29,NA,1372030000,NA
"88",NA,14.97,13.75,14.39,NA,1380860000,NA
"89",NA,15.04,13.86,14.56,NA,1316110000,NA
"90",NA,14.11,13.6,13.89,NA,1295520000,NA
"91",NA,14.07,13.46,13.7,NA,1311790000,NA
"92",NA,14.42,13.74,13.81,NA,1314260000,NA
"93",NA,14.34,13.85,13.93,NA,1346400000,NA
"94",NA,14.66,13.52,14.19,NA,1294140000,NA
"95",NA,14.09,13.53,13.69,NA,1330550000,NA
"96",NA,14.54,14.05,14.08,NA,1350180000,NA
"97",NA,14.8,14.09,14.3,NA,1396350000,NA
"98",NA,15.28,14.76,14.81,NA,1433430000,NA
"99",NA,15.47,15.04,15.17,NA,1431410000,NA
"100",NA,15.58,15.19,15.19,NA,1453210000,NA
"101",NA,16.25,15.22,15.38,NA,1497320000,NA
"102",NA,15.95,15.23,15.88,NA,1442970000,NA
"103",NA,15.48,15.17,15.31,NA,1445300000,NA
"104",NA,16.34,15.35,15.35,NA,1504680000,NA
"105",NA,15.93,14.98,15.93,NA,1415870000,NA
"106",NA,15.45,14.94,15.04,NA,1447760000,NA
"107",NA,15.48,14.58,15.37,NA,1390050000,NA
"108",NA,15.11,14.41,14.77,NA,1374450000,NA
"109",NA,14.7,13.85,14.57,NA,1319170000,NA
"110",NA,14.14,13.55,14,NA,1295940000,NA
"111",NA,14.41,13.76,13.81,NA,1347810000,NA
"112",NA,14.47,13.48,14.4,NA,1330870000,NA
"113",NA,14.75,14.04,14.16,NA,1376840000,NA
"114",NA,14.83,14.6,14.66,NA,1390780000,NA
"115",NA,15.08,14.22,14.77,NA,1395600000,NA
"116",NA,15.93,14.49,14.92,NA,1491550000,NA
"117",NA,16.02,15.56,15.88,NA,1486560000,NA
"118",NA,16.62,15.37,15.78,NA,1549590000,NA
"119",NA,16.58,16.06,16.51,NA,1511020000,NA
"120",NA,16.86,15.75,16.14,NA,1510790000,NA
"121",NA,16.06,14.95,16.06,NA,1400840000,NA
"122",NA,16.45,14.57,14.83,NA,1538640000,NA
"123",NA,17.06,14.79,16.4,NA,1451740000,NA
"124",NA,15.69,13.8,15.5,NA,1348150000,NA
"125",NA,15.36,12.25,14.18,NA,1376490000,NA
"126",NA,17.6,14.38,14.77,NA,1646950000,NA
"127",NA,18.6,16.85,17.55,NA,1722240000,NA
"128",NA,20.72,17.36,18.36,NA,1874350000,NA
"129",NA,20.42,14.23,19.94,NA,1373170000,NA
"130",NA,16.03,13.17,14.72,NA,1421880000,NA
"131",NA,17.49,14.43,15.48,NA,1516460000,NA
"132",NA,17.45,16.26,16.26,NA,1584440000,NA
"133",NA,16.99,15.38,16.99,NA,1562560000,NA
"134",NA,18.17,16.68,16.75,NA,1675380000,NA
"135",NA,18.18,17.5,17.91,NA,1657550000,NA
"136",NA,18.05,17.39,17.77,NA,1682750000,NA
"137",NA,18.59,17.84,18.05,NA,1662670000,NA
"138",NA,18.32,17.53,17.85,NA,1669210000,NA
"139",NA,18.12,16.97,17.91,NA,1652150000,NA
"140",NA,18.79,17.51,17.81,NA,1745950000,NA
"141",NA,19.81,18.6,18.92,NA,1731060000,NA
"142",NA,19.66,18.33,18.66,NA,1825930000,NA
"143",NA,19.84,18.07,19.65,NA,1782010000,NA
"144",NA,20.24,16.56,19.14,NA,1830180000,NA
"145",NA,22.47,17.7,19.58,NA,2001190000,NA
"146",NA,23.86,19.45,21.42,NA,1871250000,NA
"147",NA,21.38,20.12,20.19,NA,1984090000,NA
"148",NA,21.56,20.61,21.34,NA,1931450000,NA
"149",NA,21.05,20.28,20.79,NA,1927380000,NA
"150",NA,21.91,19.84,20.7,NA,2013030000,NA
"151",NA,23.04,21.42,21.68,NA,2135600000,NA
"152",NA,23.66,21.97,22.95,NA,2044860000,NA
"153",NA,24.62,21.73,22.07,NA,2134890000,NA
"154",NA,24,18.33,23.27,NA,1703170000,NA
"155",NA,18.56,17.59,18.4,NA,1697750000,NA
"156",NA,18.93,16.1,18.36,NA,1746400000,NA
"157",NA,21.06,18.12,18.84,NA,1921790000,NA
"158",NA,21.02,19.8,20.74,NA,1874700000,NA
"159",NA,22.94,18.02,20.33,NA,1995200000,NA
"160",NA,22.15,18.16,21.57,NA,1803650000,NA
"161",NA,19.66,17.43,19.66,NA,1612890000,NA
"162",NA,17.66,17.33,17.45,NA,1620430000,NA
"163",NA,17.78,17.17,17.54,NA,1619690000,NA
"164",NA,18.38,17.01,17.51,NA,1615920000,NA
"165",NA,17.83,16.78,17.49,NA,1601600000,NA
"166",NA,17.43,16.9,17.31,NA,1607200000,NA
"167",NA,17.55,16.09,17.48,NA,1508760000,NA
"168",NA,17.53,16.14,16.26,NA,1603910000,NA
"169",NA,17.51,16.84,17.38,NA,1552150000,NA
"170",NA,17.94,16.63,16.83,NA,1624040000,NA
"171",NA,18.74,16.68,17.68,NA,1726710000,NA
"172",NA,18.86,16.88,18.54,NA,1577830000,NA
"173",NA,17.42,15.24,17.1,NA,1494310000,NA
"174",NA,17.36,14.1,16.13,NA,1523730000,NA
"175",NA,16.26,10.58,16.26,NA,1282250000,NA
"176",NA,17.99,13.17,14.26,NA,1519550000,NA
"177",NA,22.35,15.76,16.35,NA,1767600000,NA
"178",NA,21.3,11.9,18.87,NA,1104910000,NA
"179",NA,11.94,9.84,11.94,NA,915912000,NA
"180",NA,11,8.94,9.9,NA,826321000,NA
"181",NA,9.4,7.37,9.4,NA,678664000,NA
"182",NA,8.21,7.41,7.41,NA,733122000,NA
"183",NA,8.22,6.62,7.99,NA,616144000,NA
"184",NA,6.76,5.89,6.73,NA,543449000,NA
"185",NA,6.28,5.74,5.93,NA,571892000,NA
"186",NA,6.51,6.03,6.26,NA,585399000,NA
"187",NA,6.83,6.36,6.41,NA,625436000,NA
"188",NA,7.08,6.17,6.83,NA,565543000,NA
"189",NA,6.37,6.01,6.14,NA,579371000,NA
"190",NA,6.67,6.34,6.34,NA,592771000,NA
"191",NA,6.84,6.31,6.48,NA,605901000,NA
"192",NA,6.81,6.29,6.6,NA,587732000,NA
"193",NA,6.66,5.64,6.44,NA,609381000,NA
"194",NA,7.11,6.57,6.66,NA,650286000,NA
"195",NA,7.55,6.93,7.12,NA,666100000,NA
"196",NA,7.58,6.98,7.27,NA,689342000,NA
"197",NA,8.1,7.31,7.53,NA,701217000,NA
"198",NA,7.63,6.67,7.63,NA,609121000,NA
"199",NA,6.85,6.44,6.67,NA,597190000,NA
"200",NA,7.08,6.22,6.58,NA,632910000,NA
"201",NA,7.64,6.24,6.89,NA,591840000,NA
"202",NA,6.61,5.33,6.52,NA,496272000,NA
"203",NA,5.43,4.83,5.42,NA,444253000,NA
"204",NA,5.09,4.61,4.84,NA,450848000,NA
"205",NA,5.11,4.59,4.95,NA,418466000,NA
"206",NA,4.64,3.92,4.59,NA,361613000,NA
"207",NA,4.13,3.83,3.96,NA,368833000,NA
"208",NA,4.11,3.57,4.05,NA,324863000,NA
"209",NA,3.54,3.19,3.54,NA,293703000,NA
"210",NA,3.26,3.17,3.23,NA,289096000,NA
"211",NA,3.36,3.14,3.18,NA,297930000,NA
"212",NA,3.47,3.1,3.28,NA,286485000,NA
"213",NA,3.29,2.82,3.14,NA,261650000,NA
"214",NA,2.96,2.61,2.89,NA,237684000,NA
"215",NA,2.65,2.59,2.62,NA,238216000,NA
"216",NA,2.69,2.61,2.63,NA,242861000,NA
"217",NA,2.68,2.62,2.68,NA,239360000,NA
"218",NA,2.7,2.55,2.64,NA,238045000,NA
"219",NA,2.66,2.6,2.62,NA,237470000,NA
"220",NA,2.66,2.52,2.62,NA,229734000,NA
"221",NA,2.6,2.54,2.54,NA,235280000,NA
"222",NA,2.65,2.53,2.6,NA,239316000,NA
"223",NA,2.72,2.58,2.64,NA,245821000,NA
"224",NA,2.77,2.63,2.72,NA,244756000,NA
"225",NA,2.74,2.56,2.73,NA,241422000,NA
"226",NA,2.81,2.46,2.68,NA,248631000,NA
"227",NA,2.8,2.65,2.76,NA,241974000,NA
"228",NA,2.71,2.58,2.67,NA,235018000,NA
"229",NA,2.77,2.51,2.6,NA,239440000,NA
"230",NA,2.82,2.52,2.64,NA,248588000,NA
"231",NA,2.82,2.75,2.76,NA,254292000,NA
"232",NA,2.99,2.6,2.83,NA,252768000,NA
"233",NA,2.99,2.28,2.83,NA,209841000,NA
"234",NA,2.38,2.25,2.33,NA,204442000,NA
